"newColName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TMEM42",396.469033758018,-0.0195270436321301,0.0802809682502944,-0.243233783270402,0.807824297295534,0.908726695478328
"TMEM43",1999.7403236142,-0.00811879793844605,0.0575937564090181,-0.140966633271637,0.887896301869339,0.948671239819727
"TMEM44",266.488345621432,0.12625984513698,0.0904554847160347,1.39582298998613,0.162767805500039,0.38928183449452
"TMEM45A",464.987669571763,0.437000991638853,0.121278747240446,3.60327758640563,0.000314229635981343,0.00611526163069092
"TMEM45B",252.316090655015,-0.257685084721989,0.166937021919087,-1.54360657545986,0.122683671114256,0.331416944558539
"TMEM47",525.084420623798,0.192550828363196,0.140542328447883,1.37005577244723,0.170669492415888,0.39850498955362
"TMEM48",597.113394867288,-0.0918379236925417,0.0676108704144819,-1.35833074074536,0.174358760092878,0.402838796764975
"TMEM49",2240.33618814548,-0.117772737869128,0.0770373568695904,-1.52877438498434,0.126320384535552,0.337147459969666
"TMEM50A",3168.27873495879,-0.113415757355519,0.0600156004070096,-1.88977126924273,0.0587885576441587,0.214470134486705
"TMEM50B",1228.09244366366,0.0854798595846037,0.0733863931048779,1.1647916727893,0.244103330410764,0.488312798703107
"TMEM5",403.995892125326,0.117881846755254,0.0589373869087129,2.00012000765897,0.0454873067924102,0.18331697110173
"TMEM51",404.893199342865,0.0993903485911728,0.0742546484145144,1.33850675632241,0.180731299387657,0.411647970963721
"TMEM52",40.6476663155209,-0.215527973132352,0.139211713265966,-1.54820286365259,0.121573462173081,0.329824755597929
"TMEM53",280.110027553841,0.0284963867126872,0.0682745339493013,0.417379439511778,0.676400891266008,0.833314145559427
"TMEM54",719.383845276127,-0.0728558338978521,0.116477733624418,-0.625491513534902,0.531648516539319,0.73924145526706
"TMEM55A",200.034000512764,-0.0264184075381556,0.088253991031072,-0.2993451880137,0.764676679274889,0.884425803042986
"TMEM55B",767.400749852911,0.29316680517123,0.0712812489604209,4.11281801942067,3.90858490221579e-05,0.00120817510330756
"TMEM56",201.148029110406,-0.0399148168155444,0.130719641338102,-0.305346743664222,0.760102078406917,0.88224820435162
"TMEM57",696.603849090511,-0.0653981167148173,0.045567928842896,-1.43517860862822,0.151236207672564,0.373499753113236
"TMEM59",8226.42747419986,-0.267084272762981,0.0756881134263123,-3.52874791922257,0.000417530647571501,0.00762342431599393
"TMEM59L",43.5642500746062,0.949735381236706,0.251949489255423,3.76954676131086,0.000163544266909788,0.00375922351273123
"TMEM60",487.344920949829,0.101090342253555,0.0626237634756975,1.61424891515479,0.106473445841225,0.304855094932429
